Take it easy,気楽にやれ（定）
assure A that B,(人)AにBを確約する[保証する]（動）
attitude,態度（名）
awful,ひどい（形）
constitution,憲法（名）
creed,(宗教上の)信条（名）
equality,平等（名）
ex-A,前のA(頭)
fair,公平な（形）
gaze at A,(意識を奪われて)Aをじっと見つめる（動）
gender,性別（名）
give off A,(臭い・光・熱)Aを発する（動）
guarantee A,Aを保証する、Aを約束する（動）
individual,個人（名）
lean A,Aに寄りかかる（動）
let go of A,Aを離す、Aを捨てる（動）
liberty,自由（名）
maintain A,(関係)Aを維持する（動）
national origin,国籍、生まれた国
negative,悲観的な（形）
outlook on A,Aに対する見方[態度]、…観（名）
pass by A,Aのそばを通り過ぎる（動）
perfume,香水（名）
pillar,柱、支柱（名）
positive,積極的な、前向きな（形）
regardless of A,Aにかかわらず
remind A of B,AにBを思い出させる（動）
respect A,(気持・意見など)Aを尊重する（動）
scent,(いい)香り（名）
smell A,(物が)Aな匂いがする（動）
soaked,(雨などで)びしょ濡れの（形）
stand back,(邪魔・迷惑だから)後ろに下がる（動）
statue,彫像（名）
stink,悪臭がする、(ひどく)くさい（動）
subtle,かすかな（形）
sweat,汗（名）
take a shower,シャワーを浴びる（動）
taste A,(飲食物が)Aの味がする（動）
terrific,素晴らしい（形）
turn out A,(最終的に)Aという結果になる（動）
will,意志（名）
a piece of A,一つ[一個]のA（形）
abstract,抽象的な（形）
article,記事（名）
at times,たまに、時々（副）
be beside oneself,ひどく興奮する、取り乱す （動）
be eager to A,しきりにAしたがっている（動）
be familiar with A,Aを(よく)知っている（動）
be on display,展示されている（動）
beyond description,言葉では表せない(ほど)（形）（副）
carve,…を彫る（動）
city hall,市庁舎（名）
combine A with B,AとBを組み合わせる（動）
come out,発売される、出版される（動）
confuse A with B,AとBを混同する（動）
contain A,Aを含んでいる（動）
contemporary,現代の（形）
correct,正しい（形）
curve,曲線（名）
edition,(本などの)版（名）
encyclopedia,百科事典（名）
fable,寓話（名）
fabulous,素敵な（形）
facinating,(人を)魅了する（形）
fact,現実（名）
fairy tale,おとぎ話（名）
fiction,作り話、虚構（名）
following,(伝える内容が)以下の…（形）
gift,(天賦の)才能（名）
hall,廊下（名）
increase A,Aを増やす（動）
latest,最新の（形）
literature,文学（名）
more or less,だいたい（副）
move over,(人が座れるように)席を詰める（動）
next to,…の隣に、ほとんど...（定）
novel,小説（名）
object,物体、物（名）
passage,(文章などの)一節（名）
plain,平易な、やさしい、明瞭な（形）
poetry,(文学の一分野)詩（名）
pronunciation,発音（名）
prose,散文（名）
publish A,Aを出版する（動）
quote A,Aを引用する（動）
realize A,Aということに気付く（動）
scarcely,ほとんど(し)ない（副）
shy,恥ずかしがりの（形）
take up A,(必要以上に空間・時間など)Aを取る（動）
tell A from B,AをBと区別する（動）
those who A,Aという人たち(代)
tip,役立つ情報（名）
translate A,Aを翻訳する（動）
ugly,醜い、不格好[不細工]な（形）
up-to-date,(情報などが)最新の…（形）
vocabulary,語彙（名）
well-known,有名な（形）
work,作品（名）
... to come,これから来る…(形)
So am I,(先行文に答えて)私もそうです（定）
a lot of A,たくさんの(数の)A (形)
aging,高齢化(名)
alarming,(悪いことの増加が)深刻な(形)
announce A,Aを公表[発表]する(動)
anticipate,…を予期する（動）
as it is,（残念ながら）実際のところ（副）
at a ... rate,…なペース[割合]で(副)
be apt to A,Aしがちである(動)
be broke,(全然)お金がない、すっからかんだ(動)
be for sale,売り物である(動)
be in demand,需要がある(動)
be on the increase,増加している(動)
beg A,(人に)Aにすがってお願いする（動）
birthrate,出生率(名)
buck,ドル(名)
buy A on impulse,Aを衝動買いする（動）
can afford to A,Aする（金銭的・時間的な）余裕がある（動）
carry ... out,…(計画・任務など)を実行する(動)
certain,(特定はできないが)ある…(形)
chart,図、表(名)
competent,能力[技能]を持つ(形)
compromise,妥協する(動)
concrete,(計画などが)具体的な(形)
consequence,(当然の)結果、影響(名)
continue to A,Aし続ける(動)
cut down on A,Aを減らす（動）
daily,毎日の(形)
decent,かなりよい(形)
decline,減少する(=decrease)(動)
decrease,減少[低下]する(=decline)(動)
deliquency,非行(名)
density,密度(名)
dismal,気分を暗くさせる(形)
district,地区(名)
earn A,(金を)Aを稼ぐ(動)
expense,(個々の)出費(名)
from now on,これからは(副)
gradually,徐々に(副)
in a row,連続で（副）
in all likelihood,ほぼ間違いなく(副)
in any case,とにかく、いずれにせよ(副)
indicate A,(事実・兆候など)Aを示す(動)
inevitable,避けられない(形)
it goes without saying that A,Aは言うまでもない(定)
juvenile,青少年の、少年の(形)
