As a rule,概して（副）
Why not ?,(勧誘の問いに対して)もちろん（定）
after a while,しばらくして（副）
and so on,など（副）
be dying of A,Aで死にそうだ（動）
be exhausted,疲れ切っている（動）
be tired of A,Aにうんざりしている（動）
big sister,姉、お姉さん（名）
bump into A,Aに(ドンと)ぶつかる（動）
china,陶磁器（名）
come to,意識を回復する（動）
dinosaur,恐竜（名）
do the dishes,食器を洗う（動）
do the laundry,洗濯をする（動）
faint,気を失う（動）
fatigue,(倒れる寸前の)疲労（名）
favorite,(一番の)お気に入りの…（形）
for a while,少しの間（副）
fragment,(割れた)破片（名）
have a lot in common,共通点が多い（動）
hunger,空腹（名）
in A way,Aの点[意味]で（副）
in the way,邪魔よ（副）
keep an eye on A,Aから目を離さない、Aを気を付けて見る（動）
make believe that A,Aの真似をして遊ぶ（動）
mess,散らかって汚い状態[もの]（名）
neighbor,隣の住人（名）
out of order,調子が悪い、故障中の（形）
pastime,余暇の楽しみ（名）
pick A up,(車で)Aを迎えに行く、Aを拾い上げる、Aをナンパする（動）
pleasant,(性格・雰囲気などが)楽しい、心地よい（形）
priceless,とても高価な（形）
put A away,(収納場所に)Aを片付ける（動）
resemble A,Aに(外見などが)似ている（動）
scold A,(子供)Aを叱る（動）
shade,日陰（名）
shatter,粉々になる（動）
shelf,棚（名）
shore,海岸、湖岸（名）
stroll,ぶらぶらと歩く、散歩する（動）
stuff,もの、こと（名）
take a break,一休みする（動）
tell A apart,(複数の人、物)Aを見分ける（動）
tell A off for B,AにがみがみBことで説教をする（動）
thirst,のどの渇き（名）
twin,双子の一方（名）
vending machine,自動販売機（名）
yard,(家の周りの)庭（名）
