a number of A,かなりのA
abandon A,Aを見捨てる
aggressive,強引な、押しの強い
apartment,マンション
as long as A,Aである限り
auditorium,講堂
be faces with A,Aに直面する
be particular about A,Aの好みがうるさい
competitiveness,競争力
contract,契約、契約書
crisis,危機
deregulation,規制緩和
development,発達、発展
discourage A from doing,A(人)にdoingする気をなくさせる
domestic,国内の
economic,経済の
empty,(中が)空の
except for A,Aを除いては
export A,Aを輸出する
factor,要因
furniture,家具
get down to A,A(仕事など)に取りかかる
goods,商品、品物
import A,Aを輸入する
in earnest,真剣に
in order to A,Aする目的で
in short,要するに
in the course of A,Aの過程で
industry,産業
inherit A,Aを相続する
invest in A,Aに投資する
keep...up,...を維持する
make A do,A(人)にdoさせる
manufacture A,Aを製造する
protect A,Aを保護する
purpose,目的
raw materials,材料、原料
real estate,不動産
regulation,規制
rent,家賃、賃料
resent A,Aに腹を立てる
salesman,販売員
sign,署名する
small talk,世話話、雑談
so much for A,Aはここまでにしましょう
stock,株、株式
sweeping,(変化などが)大幅な…
traditional,伝統的な
undertake,…に着手する
unprecedented,いまだかつてない
value,価値、価値観
various,様々な
will do,十分である、間に合う
