as for A,Aはと言うと（前）
as if A,まるでAであるかのように(接)
at A disposal,A(人)の自由にできる（形）
be against A,(意見など)Aに反対である（動）
be jealous of A,Aを妬んでいる（動）
be supposed to do,(当然)…するものだと思われている（動）
beat around the bush,話をじらす（動）
behave A,Aのように振る舞う（動）
bully A,(Aを)いじめる（動）
cheat on A,(試験)Aでカンニングする（動）
claim A,(事実は)Aだと主張[断言]する（動）
compliment,褒め言葉（名）
conversation,会話（名）
cut in on A,(会話など)Aに割り込む（動）
enormous,莫大な（形）
frown,顔をしかめる（動）
get away with A,Aの罰をまんまと逃れる（動）
hate A,Aが大嫌い（動）
hostile to A,Aに対して敵対的な（形）
ignore A,Aを無視する（動）
in spite of A,Aにもかかわらず、Aなのに（前）
isolated,孤立した（形）
just wait and see,(結論を急ぐ人に対して)慌てずに待つしかないよ（定）
on purpose,わざと（副）
property,財産（名）
rude,失礼な（形）
skip A,Aを飛ばす（動）
somebody,すごい人、大物（名）
status,(社会的な高い)地位（名）
stubborn,頑固な（形）
suspend A,(人)Aを停職[停学]にする（動）
the more ～the more～,～すればするほど(構)
time will tell,(最終的にどうなるかは)時が経てばわかる（定）
turn,順番（名）
turn a blind eye,見て見ぬふりをする（動）
turn away,顔をそむける（動）
wealth,富（名）
