I bed A,きっとAだ
I have my hands full,手が離せないんだ
It's a piece of cake,朝飯前だよ
That's why,そういうわけで～だ
What if A,もしAならどうなるだろう？
above all,とりわけ
anything but A,とてもAとは思えない
apart from A,A以外は
assignment,任務、(研究)課題、宿題
call for A,Aを必要とする
complicated,込み入った、複雑な
concise,簡潔な
deal with A,(問題など) Aを処理する
definition,定義
diligent,勤勉な
essay,小論文
flunk,(科目・学科を)落とす
get mad at A,Aに腹を立てる
hand...in,(レポートなど)･･･を提出する=turn...in
handwriting,(手書きの)字
leave A to B,A(仕事など)をB(人)に任せる
leave nothing to be desired,申し分ない
look A over,A(書類など)にざっと目を通す
make sense,意味をなす
math,数学
meet A,(基準。要求など)を満たす
meet the deadline,締め切りに間に合わせる
no later than A,(締切などを）Aまでに
obscure,(意味などが)曖昧な
ought to A,Aするべきである=should do
precise,厳密な
premise,(倫理などの)前提
right now,今現在
scientific,科学の
summary,要約
term,(専門)用語
terrible,(程度などが)ひどい
theme,主題
thesis,(学位)論文
think A over,Aを(どうしたらいいのか)よく考える
to begin with,〔文頭で〕まず(第一に)
to the point,要領を得た
turn...in,(米)...を提出する=hand...in
valid,(理由・論などが)妥当な
via A,A経由で、Aを使って
whether A,Aかどうか
