...of A,A(という性質)を持つ...
I wish A,Aだったらなぁ
as A put it,A(人)が言うように
at first sight,一目見ただけで
at once,すぐに
bring...up,...を育てる
by chance,偶然に
considerate,(他人に対して)思いやりのある
count,重要である
envy A,Aを羨む
eternal,永遠の
exclaim,語気を強めて言う
fall in love with A,Aに恋をする
figure,(女性の)体形[スタイル]
folks,両親
for sure,確かに
gentle,(人などの性質が)優しい
go on a diet,ダイエットを始める[中である]
how A looks,(人・物の)外見、見た目
in the end,(過程はどうであれ)最後には
introduce A to B,AをBに紹介する
it is A that B,AこそがBだ
judge A,(Aを)判断する
keep in mind that A,Aを覚えておく
make good,(社会的・経済的に)成功する
modest,謙虚な
nephew,甥
not so much A as B,AというよりもむしろB
perfect,完璧な
propose to A,Aに結婚を申し込む
self-made,(人が)自らの努力で成功[出世]した
show...off,(...を)見せびらかす[ひけらかす]
single,独身の
smart,(人・機械などが)頭のいい
take a chance,思い切ってやってみる
take to A,Aが好きになる
thin,(人が)細い、痩せた
title,肩書き
turn A down,Aのお願い事を断る
vision,先見の明
what's more,おまけに
who I am,本当の自分、現在の自分
youth,若さ
