ankle,足首
annoy A,Aを不快な気分にさせる
as a matter of fact,(意外に思うかも知れないが)実際には
at heart,(気持ちなどが)本当は
at home,家にいる
at the thought of A,Aのことを考えると
at work,職場にいて、仕事中の
be absorbed in A,Aに夢中になっている
be conscious of A,Aを自覚している
be in a hurry,慌てている
be scared of A,Aが怖い
boring,(人を)うんざりさせる、退屈な
by mistake,誤って、間違えて
can't help A,Aせずにはいられない
cartoon,(テレビ・映画の)マンガ、アニメ
clumsy,不器用な、どじな
contempt for A,Aを軽蔑
convince A,A(人)を納得させる
coward,臆病者、弱虫
duty,(与えられた)仕事
express oneself,自分を表現する
fat,デブの
fear,恐怖
figure...out,(よく考えた末に)…を理解する
frequently,頻繁に
glove,手袋
height,高い所
in public,人前で
injection,注射
inside out,裏返しに
irrational,(考えなどが)根拠のない
keep on A,Aし続ける
laugh at A,Aをばかにして笑う
lazy,怠惰な
leap,(前方に大きく)跳ぶ、飛び越える
learn one's lesson,教訓を得る、懲りる
make a mistake,間違える、間違いをする
neglect A,A(すべきこと)を怠る
on earth,〔疑問文中で〕いったい
passive,(性格などが)消極的な
put A on,Aを着る
seldom if ever,めったにない
shallow,(水深・容器などが)浅い
silly,ばかな、くだらない
since～,～なので
soap opera,連続メロドラマ、昼メロ
stream,小川
stumble,つまずく
stupid,ばかな
superstition,迷信
think...of A,Aを...（程度）だと思う
to make matters worse,さらに悪いことに
tremble,(体などが)震える
twist A,Aを捻挫する
