I wish I could,ちょっと無理かなあ、力になれればよかったんですが
I'd be glad to,ええ、喜んで
Interstate,(州と州とを結ぶ)幹線道路
agent,代理人、(反応・変化をもたらす)力、薬品
ahead of,...の前方に、...よりも早く
ambulance,救急車
as usual,いつも通り
avoid,...を避ける
be tied up,とても忙しい
busy,にぎやかな、交通量が多い
chill out,冷静になる
collision,(移動するもの同士の)衝突、(意見などの)衝突
come close to,危うく...しそうになる
dent,(衝撃を受けてできた小さな)へこみ、くぼみ
fine,(粒などが)細かい、(差異などが)微妙な
get a flat tire,タイヤがパンクする
get stuck,動かなくなる、はまる
in case of,...の場合には[際には]
in the middle of,...の真ん中に[で]、...している真っ最中に[で]
in time,間に合って、じきに、やがては
it's no good doing,...しても無駄だ(2)
it's no use doing,...しても無駄だ(1)
pedestrian,歩行者(walker)
pull over,(車を)路肩に寄せて止める
recall,...を思い出す
right away,すぐに、ただちに
run ... over,(車などが)...をひく
run out of,...を使い果たす
sheer,全くの...、ほとんど垂直の
the other day,この前、ついこのあいだ
tie A to B,AをBに結び付ける
turn ... over,ひっくり返る、うつ伏せ[仰向け]になる、...をひっくり返す
turn up,(待っていた人が)現れる
