Atlantic,(the -)大西洋
It sure is,(返答で)全く、本当だ
Pacific,(the -)太平洋
So what?,(不愉快・無関心を表して)それが何だって言うんだい？
abundant,豊富な
accelerate,加速する、...を加速させる
accompany,...に同伴する
account for,(現象が)...の理由[原因]を説明するものだ、(人が)...の理由を説明をする、...(割合)を占める
active,活動している、活動的な、活発な
agricultural,農業の
approach,...に近づく、(問題など)に取り組む
approximately,ほぼ、およそ
at ... intervals,...の間隔で
be abundant in,...が豊富である(1)
be accompanied by,...(物事)が付随して起こる
be characteristic of,...の特徴である
be indispensable for,...に不可欠である
be likely to do,...しそうだ
be rich in,...が豊富である(2)
be similar to,...に似ている
blessing,天の恵み
call ... off,...を中止する
canal,運河、水路
capital,首都、資本金、大文字
ceiling,天井、(価格などの)上限
chances are,たぶん～だ
characteristic,特有の、特徴的な
clear up,(天気が)よくなる、晴れる
climate,気候、(経済的・社会的)情勢
coast,沿岸
connect,...をつなぐ[結ぶ]
connect A with B,AとBとをつなぐ
consumption,消費、消費量
continent,大陸
curse,呪いの言葉、汚い言葉、災いのもと
devastating,壊滅的な、衝撃的な
earthquake,地震
ecologist,生態学者、環境保護論者
erupt,噴火する、(暴動などが)勃発する
famine,飢饉、食糧不足
feature,特徴、特色、顔立ち
fertile,(土地が)肥沃な、(動植物が)繁殖力のある
flour,小麦粉
foggy,霧が濃い
forecast,予報
fossil,化石
fuel,燃料
geographic,地理学上の、地理的な
give way,崩れ落ちる
harvest,収穫、刈り入れ、収穫高
hit,...を(力強く)叩く、(地震・台風などが)...を襲う
homeless,家のない、(the -)家のない人々
humid,湿度が高い、湿った
indispensable,不可欠な
interval,間隔
it's up in the air,(どうなるかが)決まっていない
later on,この[その]後に、(ある時間帯の)後半に
likely,...しそうな、ありそうな
look out for,...に気をつける(2)
make no difference to,...にとってはどちらでも同じ
mineral,鉱物の、ミネラルを含んだ
more often than not,たいてい、よく
not only A but also B,AだけでなくBも
peninsula,半島
petroleum,石油
plague,疫病、伝染病
prefecture,(日本・フランスなどの)県、府
production,生産、生産高、生産量
put ... off,...を先に延ばす[延期する]
region,地方、地域
regular,定期的な、規則正しい、通常の、常連の
relatively,比較的、相対的に
resident,住民、居住者
resource,資源、財源、(いざという時)役に立つもの
resourceful,機転がきく
rich,金持ちの、豊富な、栄養分の高い
similar,似ている
soil,土、土壌
state,状態、(米国などの)州、国、国家
that of,...のそれ
time and again,(しつこく)何度も何度も、繰り返し
two-thirds,3分の2
typhoon,台風
volcano,火山
warn,警告する
watch out for,...に気をつける(1)
weather,天気、天候
wheat,小麦
