-oriented,...志向の、...向けの
A stands for,Aは...の略[頭文字]である
You gotta do,...しなきゃ(くだけた表現)
You've got to do,...しなきゃ
a bunch of,たくさんの...
adequate,(ある目的には)十分な、まずまずの
advance,進歩する、前進する、...を促進する
appear,現れる、見えてくれる、(...のように)見える
appear to be,...のように見える
appearance,外見、見かけ、現れること
appliance,電化製品(electriacal device)
artificial,人工の、人造の
at your convenience,あなたの都合の良い時に
attractive,魅力的な、人を引きつける
attribute A to B,(定かではないが)A(結果)の起因をBだと考える
be superior to,...よりも優れている
bunch,房、束、集団
catch on,流行る、人気を博す
catch up with,...に追いつく
close at hand,(時間・空間的に)すぐ近くに[の]
come in handy,(いざという時に)役に立つ
content,(-s)(箱の)中身、(本などの)全内容、目次、含有量
convenient,(ものが)便利な、(約束の時間などが)都合のいい
conventional,従来の、通常の
desolate,(場所が)荒涼とした、(人が)孤独な、寂しい
equipment,機器、用具、設備
excellent,優れた、すばらしい
fall behind,...に遅れをとる
family of four,4人家族
firm,会社、企業、事務所
for the most part,大部分は、ほとんど、たいてい
from coast to coast,全米で
function,(機械などの)機能、働き、(公式の)式典、会合
gadget,(特殊な)機器、道具
handy,便利な、使いやすい
have A to do with,...とA程度の関係がある
household,一世帯、家族(全体)、家庭の
hub,中心(地)、中核
identify,...を同じものと考える、...を本人であると確認[特定]する
identify A with B,AをBと同じものだと考える
imitate,...を真似する
in ... respect,...の点に関して
in general,一般的に、概して
in particular,とりわけ
innovation,(技術などの)革新(をもたらすこと)、革新的な製品
integrate,融合する、...を融合させる
integrate ... into A,...(機能など)を(Aに)統合させる
intelligence,知能、(国防上の)機密情報
intelligent,頭の良い、知能が高い
interactive,双方向性の、相互に意志伝達ができる
invention,発明、発明品
keep pace with,...(速い変化など)に遅れずについていく
keep up with,...に(遅れずに)ついてゆく
make the best of,...(よくない状況)の中で何とかやっていく
medium media,媒体(単数 & 複数)
method,(一般的に確立された)方法
modernization,近代化、現代化
more and more,ますます多くの...、どんどん増えてゆく
nature,自然、性質、本質
once,いったん～してしまえば
phenomenon,現象
plenty of,(余るくらい)たくさんの...
popularity,人気
prefer A to B,BよりもAのほうを好む[選ぶ]
provide for,...(家族)を養う
quality,質、特質、特性
quantity,量、分量、数量
range,範囲、幅、届く距離、(山などの)連なり
rapidly,急速に
room,場所、空間、余地、余裕
rush,焦る、焦ってする、...をせかす
strategy,戦略
strength,(肉体的な)力、(精神面の)強さ、(人･物の)長所
superior,優れた、上の
the other way around,正反対に[な]、あべこべに[な]
thriving,(事業が)繁栄している
tool,道具、工具
tough,(物・人が)丈夫な、(肉が)堅い、難しい、厳しい
transform ... into A,...をAへと一変させる
unique,唯一の、他にはない、珍しい、個性的な
unusual,普通ではない、まれな
westernization,西欧化
