Don't mention it,どういたしまして、いいんですよ
add to,(行為が)...(負担など)を増やす[大きくする]
against one's will,自らの意志ではなく、意志に反して
apparently,どうやら[見たところ]～のようだ
appreciate,...の質を(正当に[高く])評価する、...に感謝する
ashamed,(心が痛むことに関して)恥じている
at the cost of,...を犠牲にして(2)
at the expense of,...を犠牲にして(1)
at the sacrifice of,...を犠牲にして(3)
authority,(通例the -s)当局、権限、大家、権威
be around,(自分の)近く[そば]にいる
be ashamed of,...を恥ずかしく思う
be concerned about,...を心配している[不安に思う]
be confronted with,...(たいへんなこと)に直面する[している]
be out of work,失業中である
be responsible for,...に対して責任がある、...の責任を負うべきである
be willing to do,...してもいいと思う
be worried about,...を心配している
boss,上司
burden,負担、(精神的な)重荷
by ... at the latest,遅くとも...までに(no later than)
colleague,(仕事の)同僚
come to the conclusion that,～という結論に至る
concern,...を心配させる、...におとっての(重要な)関心事である
conclusion,結論、(契約などの)締結
confront,(人が)...に立ち向かう、(困難などが)...に立ちはだかる
count on,...に頼る、...を当てにする
currency,通貨、貨幣、(考え方が)(世間に)受け入れられていること
deficit,赤字、欠損
employee,従業員
enthusiastic,熱心な、熱烈な
estimate ... at A,...をAぐらいだと見積もる
get promoted,昇進する
hardship,(経済的)困窮、苦難
huge,巨大な
in vain,無駄に
intend to do,...するつもりである
intentionally,意図的に、わざと(on purpose)
lay ... off,...を(一時的に)解雇する
loss,損失、失うこと、なくすこと
manage,...を何とかする、...を運営する
mention,...に言及する、...の話題に触れる
nothing is more A than doing,...するよりもA(形容詞)なことはない、...することが最もAだ
nowadays,(昔と違って)今日では
one after another,次々と
optimistic,楽観的な
pessimistic,悲観的な
pretend,...のふりをする、...ごっこをして遊ぶ
promote,...を促進する、...を昇進させる
recession,景気後退
reduce,...を減らす
responsible,責任がある、責任感がある
see to,必ず[きちんと]...する
set in,(好ましくないことが)始まる
somehow,(あれこれ)何とかして、どういうわけか、なぜだか
stabilize,...を安定させる、安定する
strive,懸命に努力する
surplus,黒字
take ... on,...(仕事・責任など)を(さらに)引き受ける、...を雇う
take ... out,...を(中から)取り出す、...(人)を(外食などに)連れていく、...(異性)とデートする
task,(課せられた大変な)任務、仕事
temporary,一時的な、仮の
urgent,緊急の、差し迫った
vain,虚栄心[うぬぼれ]の強い、(努力などが)無駄な、効果のない
white-collar,オフィス労働の
willing,(協力・参加などに対して)自発的な、前向きな
work overtime,残業する
worry,心配する、悩む、...を心配させる
