How often ?,～はどのくらいの頻度ですか？
I have no idea,よくわかりません（定）
I'd like a word with you,相談したいことがあるんだけど（定）
What's going on?,何が起こっているんだい？（定）
accommodate A,A人分の十分なスペースがある、Aを収容する（動）
appetite,食欲（名）
as ～ as,～もの（副）
ask for A,Aを求める[ねだる]（動）
autograph,(有名人などの)サイン（名）
be astonished at A,Aに大変驚く（動）
be subject to A,Aを受ける場合がある（動）
beforehand,事前に（副）
catch a glimpse of A,Aを一瞬目にする（動）
celebrity,有名人（名）
cook,料理人（名）
curious,好奇心旺盛な、知りたがっている（形）
downtown,中心地の…、…の市街（形）
encounter A,Aに(偶然)出会う（動）
excited,(人が)興奮した（形）
exit,出口（名）
facility,施設（名）
fan,(有名人などの)ファン（名）
fine,罰金（名）
get back to A,A(人)に連絡しなおす[会いに行く]（動）
go on,続く、進む、起こっている
had better A,Aした方がいい（動）
hang around A,A(場所)に群がる(たむろする)（動）
in private,内密に（副）
incredible,信じられない（形）
interrupt A,Aを中断する（動）
litter A,Aにゴミを投げ捨てる（動）
make a reservation,予約を取る[する]（動）
maximum,最大[最高]の（形）
meal,食事（名）
motel,モーテル（名）
on doing,doingするとすぐに（前）
pack,(店などが)混んでいる（動）
rear,(入り口などが)裏の…（形）
shuttle,往復[シャトル]便（名）
suite,スイートルーム（名）
three times larger than A,Aより３倍大きい
