I mean,（より明確な理由を加えたい時に）だって、つまり
ambition,大きな目標、夢
ambitious,野心的な
apply for,申しこむ
as of,（特定の日付）より
at all costs,どんな犠牲を払っても
be ...by nature,生まれつき…である
be cut out for,（職種に）向いている
be determined to do,…すると決心している
be of two minds whether A or B,（AとBの）どちらにしようか悩んでいる
community,社会、共同体
compulsory,強制的な、義務の
conformity,体制・社会通念などに従うこと
current,現在の
determine,…をはっきりと決める、特定する
discipline,規律
drop out,退学する
education,教育
element,要素、元素
encourage,勇気付ける、（活動などを）促進する
encourage A to do,Aに…するように励ます
essential,不可欠な、本質に関る
fit in,（グループなどに）とけ込む
freshman,大学1年生
fulfill,…を果たす、実現させる
fulfillment,達成感、充足感
get ...nowhere,...に何の進歩ももたらさない
give in,降参する
give it a try,（あれこれ考えずに）やってみる
go one's own way,わが道を行く
grew up,大人になる
homogeneous,均質な、同種のものだけで構成された
learn to do,…出来るようになる
make ... come true,（夢、計画など）を実現させる
make a living,生計をたてる
make one's way,（苦労して少しずつ）進む
military,軍隊
mold,（決まった）型
nearly,ほとんど、ほぼ
obsolete,時代遅れの
obstinate,頑固な
personality,人柄、性格
perspective,バランスの取れた見方、視点
philosophy,哲学
playwright,脚本家
raise,上げる、高くする、育てる
regard,…を（疑い・羨望などの気持ちで）見る
regard A as B,AをBだと考える
rigid,厳格な、厳しい
scholarship,奨学金
take ... over,引き継ぐ
take after,（親などに）似ている
toil away,ひたすら働く
tuition,授業料
would rather do A than do B,BするよりむしろAしたい
