accomplish,…を成し遂げる、(努力や技能を注ぎ込んで)達成する
accumulate,（長期間かけて）…をためる、たまる
achieve,…を成し遂げる
adversity,逆境、不運
architecture,建築様式、建築
audience,観衆
award,賞
background,育ち、経歴、背景
believe in,…を信頼する、…が正しいことだと信じる
bold,大胆な、（線が）太い
conquer,征服する、克服する
demonstrate,実演してみせる、実証する、はっきり示す
deserve,…を受けるに値する、…を受けるのは当然だ
eloquent,説得力のある
era,時代
extraordinary,並外れた
faith,信頼、信仰
faithful,誠実な
fame,名声
feat,偉業
fortune,財産、運勢、運命
generous,気前のよい
go for,…を手に入れようと頑張る
graceful,優雅な
have faith in,…を信頼している
humble,庶民の、謙虚な
if only,…でありさえすればいいのになあ
impress,…に感銘を与える、…に良い印象を与える
in the face of,…をものともせず
it's up to,それは（人）次第だ
lecture,公演、講義、説教
let...down,…をがっかりさせる
live from hand to mouth,その日暮らしをする
make it,（困難を乗り越えて）成功する
make the most of,（有利な状況）を最大限利用する
move,感動させる
opportunity,機会、チャンス
performance,演技、実績、性能、成果
postwar,戦後の
praise,賞賛、ほめること
prestigious,権威のある、名門の
rare,珍しい、めったにない
receive,受ける、受け取る
ripe,（果物、機などが）熟した
spectator,観客
stand by,（友達など）を見捨てない
stand up for,（人、権利）を守る、…の為に立ち上がる
talent,才能、能力
threat,脅威、脅迫
tremendous,大きな、膨大な
used to do,かつて…だった、以前はよく…した
weakness,弱点、短所、弱さ
well off,裕福な
worldwide,世界的な
yield,（利益）を生む、…を譲り渡す
yield to,屈する
