... to come,これから来る…(形)
So am I,(先行文に答えて)私もそうです（定）
a lot of A,たくさんの(数の)A (形)
aging,高齢化(名)
alarming,(悪いことの増加が)深刻な(形)
announce A,Aを公表[発表]する(動)
anticipate,…を予期する（動）
as it is,（残念ながら）実際のところ（副）
at a ... rate,…なペース[割合]で(副)
be apt to A,Aしがちである(動)
be broke,(全然)お金がない、すっからかんだ(動)
be for sale,売り物である(動)
be in demand,需要がある(動)
be on the increase,増加している(動)
beg A,(人に)Aにすがってお願いする（動）
birthrate,出生率(名)
buck,ドル(名)
buy A on impulse,Aを衝動買いする（動）
can afford to A,Aする（金銭的・時間的な）余裕がある（動）
carry ... out,…(計画・任務など)を実行する(動)
certain,(特定はできないが)ある…(形)
chart,図、表(名)
competent,能力[技能]を持つ(形)
compromise,妥協する(動)
concrete,(計画などが)具体的な(形)
consequence,(当然の)結果、影響(名)
continue to A,Aし続ける(動)
cut down on A,Aを減らす（動）
daily,毎日の(形)
decent,かなりよい(形)
decline,減少する(=decrease)(動)
decrease,減少[低下]する(=decline)(動)
deliquency,非行(名)
density,密度(名)
dismal,気分を暗くさせる(形)
district,地区(名)
earn A,(金を)Aを稼ぐ(動)
expense,(個々の)出費(名)
from now on,これからは(副)
gradually,徐々に(副)
in a row,連続で（副）
in all likelihood,ほぼ間違いなく(副)
in any case,とにかく、いずれにせよ(副)
indicate A,(事実・兆候など)Aを示す(動)
inevitable,避けられない(形)
it goes without saying that A,Aは言うまでもない(定)
juvenile,青少年の、少年の(形)
keep track of A,Aの動き[流れ]を常に記録する(動)
lead to A,(結果)Aに至る[を導く](動)
lend B A,BにA（物・金）を貸す（動）
lot,たくさんの量、一区画(名)
luxury,贅沢品（名）
mechanic,整備士、修理工(名)
metropolis,大都市(名)
no doubt,きっと(副)
on a A basis,Aという基準[やり方]で(副)
on impulse,衝撃的に(副)
on sale,バーゲン[特売]で(副)
ordinary,普通の（形）
policy,政策(名)
population,人口(名)
president,大統領(名)
purchase A,Aを購入する（動）
quarter,四半期（名）
rate,率、割合（名）
reform,(制度などの)改革(名)
review,見直し(名)
rise,（数・量などが）上がる、増える（動）
shake one's head,NOと言う(動)
steadily,着実に(副)
take a look at A,Aをちょっと見る(動)
thorough,(調査などが)徹底的な(形)
to ... extent,…の程度(副)
unemployment,失業（名）
union,労働組合(名)
vacant,(家・座席などが)誰もいない空いている(形)
wages,賃金(名)
welfare,福祉(名)
