There you go again!,（飽きれて）またそれだ、また始まったよ！
adapt,...を（目的に合うように）変える、採用する
adapt to,...に順応する
adaptable,順応性のある
altogether,全部で
amount to,（合計が）...に達する
at best,（程度が）よくても、せいぜい
at most,(数が)多くても、せいぜい
at worst,最悪でも
be a must,絶対条件である
be hard up,（一時的に）お金に困っている
be satisfied with,...に満足する
by no means,決して...しない（ではない）
cling to,...にしがみつく、...に執着する
come to an end,（長く続いてきたことが）終わる
computer literacy,コンピューターが使えること
considerable,（数量・程度が）かなりの
debt,（多額の）借金
department,（企業、大学などの）部
enclose,...を同封する、...を囲む
envelope,封筒
escape from,...から逃げる
feel free to do,遠慮なくどうぞ
further,なお一層の、さらに遠くの
give...a call,...に電話する
glory,栄光、名誉
greedy,欲の深い
harsh,（環境などが）激しい、辛い、厳しい
in other words,つまり、別の言い方をすると
inquiry,問い合わせ、質問、取調べ
last,続く、望ましい状態を保つ
leave ... behind,...を置き去りにする
literacy,読み書き能力
obtain,...を入手する
obtainable,（商品などが）入手可能な
one of these days,いつかは、近いうちに
optimistic,楽観的な
owe A B,A（人）にB（金額）の借りがある
participant,参加者
participate in,...に参加する
pay...back A,...にA（金額）を返す
personnel,社員（全体）、職員（全体）
pessimistic,悲観的な
position,位置、姿勢、地位、立場、仕事
proper,相応しい、適切な
prosperity,（経済的）繁栄
qualification,資格、能力
realistic,現実的な
reality,現実
registration,登録
require,...が必要である
requirement,要件、求めているもの
resume,履歴書
reward,見返り、報酬、謝礼金
satisfy,（人、欲求を）を満足させる、（条件を）満たす
selfish,自己中心的な、利己的な
submit...to A,（案、申請書などを）Aに提出する
sum,金額、...の総計
to one's surprise,（文を修飾して）驚いたことに
toll free,フリーダイヤルで（の）
work out,うまくいく
workshop,教室、講習会
