A might well do,Aが...するのももっともだ
Couldn't be better,最高だよ
Good for you,よくやった、おめでとう
How's it going?,最近どう？調子はどう？
Mind your own business,おせっかいはやめろ、他人のことはどうでもいい
absurd,ばかげた、道理に合わない
all the way,最初から最後まで、全面的に
all the way from,...からわざわざ、はるばる
arouse,（怒り、関心などを）呼び起こす
at one time,同時に、一度に、かつて
be fed up with,...にうんざりしている
be out of the question,無理だ、認められない
be sick and tired of,...にはうんざりだ
behind one's back,...のいないところで
bother,...を悩ませる、困らせる
cannot make heads or tails of,...が（何がなんだか）さっぱりわからない
challenging,やりがいのある
childish,子供じみた、幼稚な
clerk,事務員
commute,（電車などで）通勤する
constant,絶え間のない
contrary,反対の
despise,...を軽蔑する、...が大嫌い
dictator,独裁者、ワンマンな人
distant,遠い
disturb,...の邪魔をする
do well,（仕事、試験などで）うまくいく
feed,餌をやる
fold,...の倍の、...の面の
fundamental,抜本的な、基本的な
fuss,大騒ぎ
get by on,何とか生活していく
get on one's nerves,...をいらいらさせる
have difficulty in doing,することに苦労している
have the nerve to do,...する度胸がある、無神経にも...する
in one's presence,...のいる前で（自分よりも目上の人がいる前で）
in reality,現実には、実際には
instruction,指導、指示
insult,侮辱、...を侮辱する
interview,面接
look up to,...を尊敬する
lose one's temper,かっとなる
loyalty,忠誠、誠実、忠誠心
make a fuss,騒ぎ立てる
make ends meet,（収入の範囲内で）なんとかやりくりする
nerve,度胸、無神経さ
notion,（根拠のない）考え
on the contrary,それどころか
one by one,一人一人、ひとつひとつ
persist,（習慣などが）存続する、しつこく続ける、（痛みなどが）長引く
polite,礼儀正しい、丁寧な
pour,...を注ぐ、飲み物を注ぐ、流れる
resist,...に抵抗する、（欲求などを）我慢する
restructuring,事業の再構築、構造改革
routine,日常業務
short-tempered,かっとなりやすい、短気な
shuffle,トランプを切る、...を仕分ける、整理する
so ... that,たいへん...なので～
so to speak,言ってみれば、例えて言えば
suburb,郊外
surplus,黒字
swell,膨らむ、増大する、（手足などが）はれる
talk about ... behind one's back,...の陰口を言う
talk back,口答えをする、言い返す
temper,かんしゃく、（急にかっとなる）性質
tempt A to do,Aを誘惑して...させる
temptation,誘惑
there's no point in doing,...するのは無駄だ（意味がない）
think of A as B,AをBだと考える、みなす
to one's face,本人の前で
trainee,研修生
whisper,ささやく、ひそひそ話
