adopt,(方法など)を採用する、養子にする
ally,同盟国
appeal to,…(理性、人の心など)に訴える
armed,武装した
armed forces,全軍
as a last resort,最後の手段として
be bound to do,きっと…する、…する義務がある
be bound up with,…と密接に関係がある
be reluctant to do,…することに気が進まない
break out,(戦争、伝染病などが突然)発生する
call...in,(専門家など)を呼ぶ、助けに来てもらう
captive,捕虜
captivity,監禁状態
capture,…を捕らえる
circumstances,(周囲の)状況
citizenship,市民権、国籍
civil,市民の、礼儀をわきまえた
civil war,内戦、内乱
collapse,崩壊する、卒倒する
colony,植民地
command,命令、指揮
condemn,…を厳しく非難する
confine A to B,AをBに閉じ込める
declare,…を宣言する、…と断言する
deprive A of B,AからBを奪う、剥奪する
enemy,敵、敵軍
engage,…を引き込む、かかわらせる
engage in,…(活動など)にかかわる
entire,すべての、まる
flexible,(考えなどが)柔軟な、融通の利く
for the moment,今のところは
have no choice but to do,…せざるを得ない
hold out,(燃料、抵抗などが)持ちこたえる
hostage,人質
in a moment,すぐに
innocent,罪のない、純粋な、世間知らずの
invasion,侵略、(プライバシーの)侵害
jail,拘置所、刑務所
not ... any longer,これ以上...ない
notoriety,悪名、悪評
notorious,悪名高い
obedient,純情な、素直な
occupy,…を占領する
put ... down,…を下に置く、(暴動などを)鎮圧する、書き留める
reason,理性、分別、理由
rebel,反抗者
rebellion,反乱、暴動
rebellious,反抗的な
regime,(非民主的な)政権
reign,(絶対君主の)支配
reluctantly,いやいや、しぶしぶ
republic,共和国
resolution,決意、決議
resort to,(不本意ながら)…という手段をとる
riot,暴動
rule ... out,…(可能性など)を排除する、ないと断言する
set ... free,…を解放する、自由にする
sooner or later,遅かれ早かれ
succeed in,…に成功する
surrender,降参する
swiftly,素早く
tactic,(個々の)戦術、作戦
territory,領土、領域
terrorism,テロ(行為)
tolerate,…に寛容な態度を取る、我慢する
troop,軍隊
tyranny,専制政治、圧制
ultimately,最終的には
under the circumstances,このような状況下では
violation,違反、侵害
