accuse of A,Aを訴える(動)
attempt,試みる、企てる(動)
attempt to do,doしようと試みる=try to do(動)
break into A,Aに不法侵入する(動)
brutal,残虐な(形)
brutal murder,残虐殺人 (名)
catch sight of A,Aをちらっと見かける(動)
clue to A,Aの手がかり、Aのヒント(名)
come up,近づいてくる(動)
cop,警官、刑事(名)
correspond with A,Aに一致する(動)
crime,犯罪(行為)(名)
debate,討論、論争(名)
distinguish,区別する(動)
distinguish A from B,AとBとを区別する(動)
elderly,お年寄りの(形)
fingerprint,指紋(名)
give rise to A,(よくないこと)Aを引き起こす(動)
guilty,有罪の(形)
incident,(人々を不安にさせる)出来事、事件(名)
insane,狂気の、正気ではない(形)
jury,陪審団(名)
kidnapping,誘拐(名)
mercy,慈悲、情状酌量(名)
murder,殺人(名)
noted,有名な、著名な(形)
officer,警官(名)
on duty,職務中の、勤務中の(形)
perceive A,Aに気づく(動)
plead for A,Aを請願する(動)
prison,刑務所(名)
psychologist,心理学者(名)
search,よく調べる(動)
search for A,Aを探す(動)
sentence to A,Aという判決を下す(動)
take A by surprise,A(人)を驚かす(動)
the day before yesterday,一昨日、おととい(副)
thief,泥棒(名)
verdict,評決(名)
vice,悪いこと(名)
virtue,正しいこと(名)
weapon,兵器、凶器(名)
weird,奇妙な(形)
widespread,広範囲にわたる(形)
wilderness,原野(名)
witness A,Aを目撃する(動)
,
