A to death,Aの結果死ぬ(副)
Antarctic,南極(地方)(名)
Mediterranean,地中海(名)
aisle,(座席・棚の間の)通路(名)
all of a sudden,突然(副)
ash,灰、燃えかす[通例 -es](名)
at present,現時点で(副)
be aware of A,Aに気づいている(動)
be in A condition,Aな状態[程度]である(動)
become aware of A,Aに気づく(動)
blaze,激しい炎(名)
bomb,爆弾(名)
bound for A,A行きの(電車・飛行機などが)(形)
breathe,呼吸する、息をする(動)
bullet,弾丸(名)
burn down,全焼する(動)
by accident,誤って、過失で(副)
cargo,貨物(名)
cargo vessel,貨物船(名)
catch fire,火が付く(動)
chest,胸部(全体)(名)
condition,状態、程度、条件(名)
critical,危機的な、危篤の(形)
deli,デリ、惣菜屋、デリカテッセン(名)
deliberately,故意に(副)
expedition,探検[調査]旅行(名)
explode,爆発する(動)
firework,花火(名)
freeze,凍る(動)
freeze to death,凍死する(焼死は、be burnt to death）(動)
go off,(爆発物が)爆発する(動)
heap,(乱雑に積み上げられた)山(名)
horror,(体が震えるほどの)恐怖、ホラー(名)
in sight,視界に(入って)(副)
inform A of B,A(人)にBを知らせる(動)
it takes two days to do,doするのに2日間かかる(構)
more than A,Aより多い、A以上の(形)
penetrate A,Aを突き抜ける、Aの奥まで入り込む(動)
put...out,…(火・タバコ)を消す(動)
reckless,無謀な(形)
relief,安堵(名)
remember A,Aを覚えておく、Aを思い出す、Aを覚えている(動)
remember doing,doingを覚えている(過去の記憶）(動)
remember to do,忘れずにdoする(未来志向）(動)
repeat,繰り返す(動)
safety,(体・生命の)安全、無事(名)
scream,悲鳴を上げる(恐怖、興奮などで)(動)
seriously,ひどく(副)
sigh,溜息(名)
sink,沈む(動)
so as to do,doなるように(副)
stare at A,Aをじっと見つめる(動)
take hold of A,Aをつかむ(動)
thirty-story,30階建て(の建物)(名)
trace,跡、形跡(名)
tragedy,悲劇的な出来事(名)
turn...around,振り向く(動)
uncertain,(物が)不確実な(形)
vessel,(大型の)船舶(名)
warehouse,倉庫、貯蔵庫(名)
whether A or B,AなのかそれともBなのか(接)
without a trace,何の痕跡も残さずに(副)
wounded,(武器・凶器で)負傷した(形)
