allow A to B,AにBすることを許す(動)
as well as A,Aだけでなく(前)
attorney,弁護士(名)
by far,[比較級・最上級を強めて]間違いなく、はるかに(副)
cannot A too much,いくらAしてもし過ぎる事はない(構)
client,(弁護士・設計事務所などの)依頼人、顧客(名)
consult A,(専門家など)Aに相談する(動)
county,(米国の)郡(名)
cultivate A,(土地)Aを栽培する(動)
danger,危険(な状況)、危険性(名)
device,装置(名)
electricity,電気(名)
emphasize,…を強調[力説]する(動)
energy,(石油・電気などの)エネルギー(名)
establish A,Aを設立する(動)
expose A to B,AをBにさらす(動)
farmer,(近代的な)農業経営者(名)
grain,穀物(名)
grocery store,食料雑貨店(名)
have a bad memory,記憶力が悪い(動)
if anything,むしろ、どちらかと言えば(副)
in fact,実際は(副)
in person,(電話や代理人を使わず)本人と直接会って(副)
inhabitant,住民(名)
institute,理系の大学、組織(名)
insurance,保険(名)
just in case,[文末に用いて]念のため(副)
legal,法的な…(形)
make... of A,Aに対して...な評価[判断]をする(動)
nuclear,核の、原子力の(形)
operate A,(機械)Aを動かす[操作する](動)
overlook A,(不注意で)Aを見落とす[見過ごす(動)
permission,(正式な)許可(名)
potential,潜在的な(形)
power,(電気・ガスなどの)エネルギー(名)
power plant,発電所(名)
press,[the -]報道陣[機関](名)
prominent,(人が)傑出した、著名な(形)
radiation,放射機能、放射能(名)
recommend that A B,(人)AにBするのがいいと勧める(動)
remote,(距離などが)遠く離れた(形)
researh,研究[調査](名)
run A,Aを経営[運営]する(動)
supply A with B,AにBを供給する(動)
take A action,Aな行動をとる(動)
the late 1960s,1960年代後半
why don't you A?,Aしたら？、Aしてみるのどう？(定)
write A down,(忘れないように)Aを書き留める(動)
