How come ?,どうして？
Not much,別に(定)
Not really,(返答で)そうでもないよ(定)
Shut up,黙れ！、うるさい！(定)
What a pity,それは可哀そうに(定)
What's up?,どうだい調子は？(定)
a couple of days,２.３の日（２.３日）(形)
a great deal of A,たくさんのA(形)
adolescence,思春期（名）
advantage,利点、プラス面(名)
all along,最初からずっと(副)
all by myself,たった一人で(副)
arrogance,傲慢さ(名)
as...as ever,相変わらず… (副)
ask him out,彼をデートに誘う(動)
be afraid of A,Aを怖がる(動)
be crazy about Ken,Kenの熱狂的なファンである（動）
be in trouble,(相当)大変な[まずい]ことになている(動)
be seeing A,A(異性)と付き合っている(動)
be taken in by Jennifer,Jenniferにだまされる(動)
be there for you,あなたのそばにいる(動)
be upset,精神的に不安定である(動)
be used to A,Aに慣れている(動)
brave,勇敢な(形)
break up,(異性と)別れる(動)
congratulations,お祝いの言葉(名) おめでとう！(感)
deceive me,私をだます（動）
delight,(大きな)喜び(名)
depress A,A(人)を憂鬱にさせる（動）
depressed,憂鬱な（形）
even though～,実際に～だけれども(接)
feel down,気分が落ち込んでいる(動)
for ages,ずいぶんと長い間(副)
get married to Jennifer,Jenniferと結婚する(動)
get through A,(辛いこと)Aを乗り切る(動)
give her up,彼女をあきらめる(動)
go so far as to do,(なんと)doさえもする(動)
go with Jennifer,Jenniferと付き合う(動)
guy,男(名)
idiot,ばか(名)
if I were you.I'd do,私(があなたの立場)だったらdoするかな(定)
indecisive,決断力のない、優柔不断な(形)
it dawns on me that A,Aということに私が(だんだん)気づいてくる(動)
it is about time A,もうAしてもよい時間だ(構)
know better than to do,doしないくらいの分別はある(動)
leave me for B,私を見捨ててB(別の人)に行く(動)
look back on A,Aを振り返る、Aを回想する(動)
must have done,きっとdoneしたに違いない（助）
naive,うぶな(形)
no wonder ～,～ということも不思議ではない[当然だ](定)
not do...without A,doするときはいつもAをする(定)
on and off,したりやめたりを繰り返して(副)
on his own,一人で、自分(だけ)で(副)
opposite,反対のもの(名)
ordeal,厳しい試練(名)
pity,哀れみ、同情(名)
provoke her,彼女を挑発する、彼女をわざと怒らせる(動)
put up with A,Aに我慢する[耐える](動)
reflect,反射する(動)
reflect on A,Aをよく[深く]考える(動)
regret,後悔する(動)
regret doing,doingしたことを後悔する(動)
see him off,彼(人)を見送る(動)
see through her,彼女の正体を見抜く(動)
self-confident,自信がある(動)
serves you right,当然の報いだ(定)
settle down,身を固める(動)
should have done,doneするべきだった（助）
show up,(待っていた人が)姿を見せる(動)
sob,すすり泣く、すすり泣きながら言う（動）
sorrow,(深い)悲しみ(名)
take a risk,危険を冒す(動)
take advantage of you,あなたを悪用する、あなたを利用する(動)
take your time,慌てない(動)
take...back,撤回する(動)
to be honest,正直に言うと（副）
torture,拷問、耐え難い苦痛(名)
trouble,大変な状況、まずい状況(名)
trust her,彼女を信頼[信用]する(動)
waste A,Aを無駄にする、Aを浪費する(動)
wonder,不思議(名)
