Buddhist,仏教徒(名)
Do you have the time?,時間わかりますか？、今何時ですか？(定)
I'll buy you dinner,dinnerをおごるよ(定)
I'm at a loss for words,あきれてものが言えないよ(定)
I'm so sorry,それはお気の毒に(定)
It's a quarter to eight,８時１５分前です(定)
Let's call it a day,今日はこの辺までにしておこう(定)
Let's see,え～っと(定)
Take jennifer for example,例えばjenniferを見てごらん(定)
That's too bad,それは大変だね(定)
all at once,突然(副)
arrangement,準備、もろもろの手配(名)
atmosphere,雰囲気(名)
attend A,A(会議など)に出席する(動)
be at a loss,どうしたら[どういったら]よいのか自分でもわからない(動)
be starved,おなかがペコペコだ(動)
besides A,Aに加えて(前)
break off,…(関係)が(突然)壊れる[破局する](動)
burst into A,突然Aの状態になる(動)
businessman,実業家(名)
by the way,ところで(副)
cherish A,(宝物のように)Aを大切にする(動)
childhood,少年[少女]時代(名)
cough,咳をする(動)
fade,徐々に消える(動)
feel for you,あなたの気持ちがわかる(動)
fly,ハエ(名)
for example,例えば(副)
funeral,儀式(名)
get engaged to A,Aと婚約する[している](動)
get over A,A(病気など)を克服する(動)
go easy on Bob,Bobにやさしく接する(動)
go thorough A,(嫌なこと)Aを経験する(動)
grief,(死別などによる)深い悲しみ(名)
interfere with,…の邪魔[妨害]をする(動)
make arrangements,段取りをつける(動)
marriage,結婚(名)
meditation,瞑想(名)
memory,思い出(名)
mosquito,蚊(名)
motive,動機(名)
not necessarily,(可能性として)必ずしも…ではない(副)
pass away,(人が)亡くなる(動)
period,期間、時期(名)
postpone A,Aの延期を決定する(動)
precious,貴重な、大切な(形)
priest,(キリスト教以外の)聖職者、僧侶(名)
pure,純粋な(形)
recently,最近、このごろ(副)
relative,親戚(の一人)(名)
ritual,(宗教的・伝統的な)儀式(名)
rough,粗い、(人生が)辛い(形)
sacred,神聖な(形)
sneeze,くしゃみをする(動)
speaking of jennifer,jenniferと言えば(定)
spoil A,Aを台無しにする(動)
starve,飢餓状態にある(動)
take place,(行事・会合などが)行われる(動)
these days,近頃は(副)
yawn,あくびをする(動)
you know,ほら、あれだよ(副)
