Anything else?,ほかに何か？（定）
For here or to go?,こちらでお召し上がりですか？（定）
I'll take it,それ[これ]にします[決めます]（定）
It's on me,(この支払は)私のおごりです（定）
That's it,（それで）以上です（定）
account,(銀行)口座（名）
as the proverb goes,ことわざにある通り（副）
available,利用[入手・購入]可能な（形）
be in,流行っている（動）
be short of A,Aが不足している（動）
break one's promise,約束を破る（動）
cab,タクシー（名）
check,（レストランの）伝票（名）
curfew,門限（名）
customer,(小売業・飲食業・企業の)客（名）
delivery,配達（名）
deposit A,(口座に)Aを預金する（動）
eat out,外食する（動）
end,終わり、(最終)目的（名）
every time A,Aする時はいつでも（接）
explain A to B,AをB(人)に説明する（動）
extra charge,追加料金
get out of A,(小型車など)Aから降りる（動）
hang out,なんとなく時間を過ごす、ぶらぶらする（動）
happen,(偶然・不意に)起こる（動）
in haste,急いで（副）
including A,Aを含めて（前）
justify A,Aを正当化する（動）
keep the change,お釣りはいりません（定）
look good on A,(服などが)Aに似合う（動）
mall,(巨大な)ショッピングセンター[モール]
means,手段（名）
now that A,(さあ[今や])Aなのだから(接)
odd,奇妙な（形）
on one's way to A,Aに向かう途中で（副）
punishment,罰（名）
purse,(女性用の)ハンドバック（名）
rob A of B,A(人)からB(物・金)を奪う（動）
rug,（床の一部に敷く装飾的な）敷物（名）
run into A,Aに偶然出会う（動）
service,(便利な)サービス（名）
slight,(量・程度が)わずかな（形）
split the check,割り勘にする（動）
stand on one's own two feet,(人が)自立する（動）
tax,税金（名）
treat A,Aにごちそうする[ご褒美をあげる]（動）
try A on,Aを試しに着てみる（動）
turn to,(困った時)…に頼る（動）
withdraw A,(口座から)Aを下す（動）
